Nome;Autor;Ano
Dom Quixote;Miguel de Cervantes;1605
Guerra e Paz;Liev Tolstói;1869
A Montanha Mágica;Thomas Mann;1924
Cem Anos de Solidão;Gabriel García Márquez;1967
Ulisses;James Joyce;1922
Em Busca do Tempo Perdido;Marcel Proust;1913
A Divina Comédia;Dante Alighieri;1321
O Homem sem Qualidades;Robert Musil;1930-1943
O Processo;Franz Kafka;1925
O Som e a Fúria;William Faulkner;1929
Crime e Castigo;Fiódor Dostoiévski;1866
Orgulho e Preconceito;Jane Austen;1813
Anna Kariênina;Liev Tolstói;1877
Grande Sertão: Veredas;Guimarães Rosa;1956
O Leopardo;Tomaso di Lampedusa;1958
Édipo Rei;Sófocles;427 a.c.
1984;George Orwell;1949
O Castelo;Franz Kafka;1926
As Asas da Pomba;Henry James;1902
Ilíada e Odisseia;Homero;século 8 a.c.
A Vida e as Opiniões do Cavalheiro Tristram Shandy;Laurence Sterne;1759
Doutor Fausto;Thomas Mann;1947
Lolita;Vladímir Nabókov;1955
Enquanto Agonizo;William Faulkner;1930
A Morte de Virgílio;Hermann Broch;1945
Os Lusíadas;Luís de Camões;1572
O Homem Invisível;Ralph Ellison;1952
Hamlet;William Shakespeare;1603
Finnegans Wake;James Joyce;1939
Rumo ao Farol;Virginia Woolf;1927
Pedro Páramo;Juan Rulfo;1955
As Três Irmãs;Anton Tchekhov;1901
Pais e Filhos;de Ivan Turguêniev;1862
Contos da Cantuária;Geoffrey Chaucer;século 15
As Viagens de Gulliver;Jonathan Swift;1726
Folhas de Relva;Walt Whitman;1855
Middlemarch;George Eliot;1874
O Apanhador no Campo de Centeio;J. D. Salinger;1951
O Lobo da Estepe;Herman Hesse;1927
O Grande Gatsby;Scott Fitzgerald;1925
A Peste;Albert Camus;1947
O Mestre e Margarida;Mikhail Bulgákov;1940
As Vinhas da Ira;John Steinbeck;1939
Memórias de Adriano;Marguerite Yourcenar;1951
Paralelo 42;John dos Passos;1930
Admirável Mundo Novo;Aldous Huxley;1932
O Jogo da Amarelinha;Julio Cortázar;1963
A Náusea;Jean-Paul Sartre;1938
A Invenção de Morel;Adolfo Bioy Casares;1940
Memorial do Convento;José Saramago;1982
